Person_responsible,Part,Definition,Location,Source,,Document,Section_(abitrary_designation) *,Section_name,Relevant_to_our_drug,topic,document_title,citation_key **,Document_description,,,,,,,,,link
Mouna,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),1,Pharmacology studies ,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Mouna,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),2,Toxicokinetic and pharmacokinetic studies,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Olivia,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),4,Repeated-dose toxicity studies,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Raluca,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),6,Exploratory clinical trials,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Raluca,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),7,Local tolerance studies ,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),8,Genotoxicity studies ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),9,Carcinogenicity studies ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),10,Reproduction toxicity studies,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),11,Clinical trials in pediatric populations,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Olivia,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),12,Immunotoxicity,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),13,Photosafety testing ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),14,Other toxicity studies ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Not_assigned,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),15,Combination drug toxicity testing ,,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Dylan,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),5,Estimation of the first dose in human,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Dylan,Part A: Preclinical Plan,guideline,EU,ICH,,M3 (R2),3,Acute toxicity studies,Yes,,Guidance on nonclinical safety studies for the conduct of human clinical trials and marketing authorization for pharmaceuticals M3(R2) version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/M3_R2__Guideline.pdf
Dylan,Part A: Preclinical Plan,guideline,EU,ICH,,S9,3,Acute toxicity studies,Yes,,S9 Nonclinical evaluation for anticancer pharmaceuticals version step 4 2009,,,,,,,,,,,https://database.ich.org/sites/default/files/S9_Guideline.pdf
Dylan,Part B: Clinical Plan,guideline,EU,ICH,,E6 (R2),5.4,Trial design ,,,Integrated addendum to ICH e6(r1): guideline for good clinical practice E6(r2)step 4 version 2016,,,,,,,,,,,https://database.ich.org/sites/default/files/E6_R2_Addendum.pdf
Dylan,Part D: Scientific Advice,regulation,EU,EMA,,Scientific advice regulatory guidance,sec 2.5.1,Dose response studies,,,,,,,,,,,,,,https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance/scientific-advice-protocol-assistance-regulatory-procedural-guidance
Dylan,Part D: Scientific Advice,regulation,EU,EMA,,Scientific advice regulatory guidance,sec 2.3.6,Non-clinical aspects,,,,,,,,,,,,,,https://www.ema.europa.eu/en/human-regulatory/research-development/scientific-advice-protocol-assistance/scientific-advice-protocol-assistance-regulatory-procedural-guidance
Dylan,Part E: Inspection Readiness,guideline,EU,ICH,,,,,,,,,,,,,,,,,,
Dylan,Part A: Preclinical Plan,regulation,EU,EudraLex,,,3,Acute toxicity studies,,,,,,,,,,,,,,
Dylan,Part B: Clinical Plan,regulation,EU,EudraLex,,Vol 10 R2,3,Acute toxicity studies,,,,,,,,,,,,,,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-10_en
Dylan,"Part C: Chemistry, Manufacturing and Controls, CMC",regulation,EU,EudraLex,,,,,,,,,,,,,,,,,,
Dylan,Part E: Inspection Readiness,regulation,EU,EudraLex,,Vol 10 R2 Chapter IV – Inspections,,,,,,,,,,,,,,,,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-10_en
Dylan,Part A: Preclinical Plan,regulation,US,FDA,,,3,Acute toxicity studies,,,,,,,,,,,,,,
Dylan,Part B: Clinical Plan,regulation,US,FDA,,,3,Acute toxicity studies,,,,,,,,,,,,,,
Dylan,"Part C: Chemistry, Manufacturing and Controls, CMC",regulation,US,FDA,,,,,,,,,,,,,,,,,,
Dylan,Part D: Pre-IND Meeting / Scientific Advice,regulation,US,FDA,,,,,,,,,,,,,,,,,,
Dylan,Part E: Inspection Readiness,regulation,US,FDA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"* Section_(abitrary_designation): each document will have different names for sections, these designations is used to identify the general topic without requiring the exact name.",,,,,,,,,,,,,,,,,,,,,,
** citation_key: this Dylan's method of tracking citations from my reference manager.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
